reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.13196,0.030319,0.073542,0.023749,-0.045712,-0.019839,-0.13148,0.023545,-0.091301,0.014607,-0.047837,-0.010871,0.004853,-0.094172,-0.034281,-0.0098303,-0.09271,0.017943,-0.075562,-0.025212,0.064654,-0.12637,-0.11904,0.012242,-0.025476,0.12418
0.1424,0.036427,-0.018957,0.02712,-0.049678,-0.0046839,-0.02291,-0.021375,-0.077919,-0.048298,-0.025053,-0.12443,-0.024752,0.14225,0.043246,-0.019238,0.020669,-0.044797,0.0080562,-0.02427,-0.043854,-0.083008,-0.053957,-0.029311,-0.1002,-0.039461
0.15064,-0.013501,0.03695,0.051281,-0.003243,0.029656,-0.10192,-0.020719,-0.026577,0.027419,0.0051456,-0.015136,0.042841,0.034103,0.081675,-0.13694,0.023657,0.15451,0.076861,0.072461,-0.082242,-0.09289,0.021187,-0.018687,-0.068996,-0.02512
0.20533,0.094204,0.12905,0.024444,0.083629,-0.12593,-0.11697,-0.10911,-0.037399,0.11796,0.013153,0.076238,0.011106,0.036593,0.058096,0.024753,-0.017826,-0.01761,-0.051329,-0.13545,0.062678,0.03533,-0.095102,0.0046091,-0.11201,-0.038107
0.10745,-0.042397,0.00093323,0.082004,0.095206,-0.037754,-0.027625,-0.05523,-0.0040786,-0.041478,-0.021308,0.084352,-0.045943,-0.072853,-0.1122,-0.024324,-0.014357,0.012652,0.063869,-0.042973,-0.0025606,-0.095866,-0.047406,-0.084022,0.019564,0.036326
0.12475,0.049629,0.028667,0.056221,-0.026236,-0.068709,-0.020866,0.049882,-0.009569,-0.018177,0.039878,0.022953,0.014843,-0.0014343,-0.035573,0.0051404,-0.06379,-0.042517,-0.048732,0.064256,0.063972,-0.029452,0.038532,-0.040414,-0.023467,-0.0048226
0.092228,0.047493,0.092976,0.080852,0.10502,-0.070501,-0.12489,0.1007,0.059413,0.08119,-0.058805,-0.023394,-0.10067,-0.022941,-0.024991,0.10454,-0.0017931,0.076963,-0.029471,-0.040522,0.006592,0.055479,-0.087273,-0.060435,-0.0015827,0.046389
0.1541,-0.063821,0.023865,0.07325,-0.095826,-0.13398,0.015682,0.011903,0.033154,0.0060039,-0.0088994,0.060566,-0.024145,0.027371,0.061031,0.023636,-0.077746,0.068371,-0.0069056,0.070912,0.015749,-0.031739,0.058718,-0.088865,-0.0010428,0.091018
0.12008,0.076788,-0.021506,0.067369,0.019573,0.060372,-0.044205,-0.023052,0.051767,0.055423,-0.047807,-0.033806,-0.02748,-0.012482,-0.090319,-0.044065,0.028367,-0.07831,-0.0855,0.1113,-0.082318,-0.057174,-0.088775,-0.079168,-0.022179,-0.1262
0.18758,0.14085,0.079076,-0.088534,-0.085546,0.033975,-0.081087,-0.0337,0.1006,0.031003,-0.03086,-0.012099,-0.097863,-0.030378,-0.11639,-0.11498,-0.0052627,-0.035593,0.031949,-0.016769,0.074009,-0.07967,0.038746,0.077774,-0.00576,-0.015463
-0.21352,0.038205,-0.07419,0.090258,-0.039852,0.087468,-0.068434,0.070496,-0.04689,0.015712,0.072316,0.0089387,0.035875,-0.014067,0.11334,0.090287,0.017981,0.022525,-0.0042866,0.040562,0.004691,-0.10254,0.028177,-0.055104,-0.12186,-0.023203
0.099075,-0.0014291,-0.096144,0.03731,0.10149,-0.065243,-0.041265,-0.038267,0.068221,-0.059584,0.011818,-0.043496,0.067641,-0.031601,-0.012754,0.061682,0.073377,-0.0012487,-0.058429,0.030409,-0.018638,-0.045972,-0.048201,0.030009,0.16925,0.072213
0.11746,-0.025785,-0.045425,0.04045,-0.029462,0.12831,-0.044486,-0.054724,-0.019927,0.024602,0.036524,0.038556,-0.031613,-0.10201,-0.010296,-0.017022,-0.01695,-0.02653,0.051045,-0.011197,-0.030133,0.081538,0.051557,-0.017229,0.0059549,-0.043148
-0.065515,3.7372e-05,0.0011216,0.017255,0.052809,0.023633,-0.011352,-0.068361,-0.034885,0.086069,-0.12942,-0.012135,0.13659,-0.017137,-0.10563,0.032385,-0.0015417,-0.03721,0.058353,0.073271,0.10255,0.062502,0.030463,0.096148,0.03378,-0.10294
-0.13531,-0.0023015,0.0013502,-0.017567,0.12331,0.1245,-0.030574,-0.048108,-0.075408,0.055944,0.00088379,-0.078392,0.06911,0.014101,-0.037698,0.046389,0.010086,-0.014094,0.066295,-0.051918,0.093005,0.080611,-0.042031,-0.046883,-0.14669,0.066898
-0.084773,0.055134,-0.12049,-0.029606,0.010102,0.053046,-0.054034,-0.038474,0.10349,-0.025739,0.084808,-0.068584,0.0087526,0.006551,0.065329,-0.062136,-0.00017272,-0.00072519,-0.049431,0.10796,0.03273,-0.13465,-0.095498,-0.12692,-0.053234,0.10279
-0.1493,-0.021199,-0.066696,0.024564,0.10569,-0.030912,0.069051,-0.070511,-0.11365,0.043374,0.026096,0.034053,-0.048049,-0.03719,-0.052603,-0.097493,-0.030819,-0.0074002,0.10596,-0.036891,0.070556,0.050265,-0.11783,-0.030399,0.00033641,-0.042406
-0.1067,0.025878,-0.012277,-0.014267,0.038025,-0.059941,-0.070976,-0.017747,0.13789,0.030822,-0.025684,-0.13055,-0.1212,-0.1067,0.025878,-0.012277,-0.014267,0.038025,-0.059941,-0.070976,-0.017747,0.13789,0.030822,-0.025684,-0.13055,-0.1212
0.10394,-0.016689,-0.051967,0.092459,-0.050251,0.02062,0.069682,-0.028409,0.10015,-0.00021971,-0.14669,-0.096799,0.039022,-0.056468,-0.052069,-0.03621,0.040886,0.16773,0.022494,-0.035711,0.015081,0.0018888,-0.12862,0.0001432,-0.042813,0.026405
0.17546,-0.19,-0.030575,0.13346,0.11851,-0.0073301,-0.071464,-0.12655,0.053003,0.020435,0.014654,0.045288,0.080775,0.013036,0.008933,0.098767,0.0063114,-0.036414,-0.022936,-0.031407,0.075382,0.010041,0.098445,-0.020075,0.077005,-0.089453
-0.12105,0.13754,0.064484,0.052529,0.054063,0.069016,0.043111,-0.18141,-0.04504,-0.0061031,0.079799,-0.067076,-0.097486,-0.068434,0.039257,-0.010339,0.14174,-0.0028612,0.06325,-0.087084,0.026113,0.024805,-0.0055862,-0.039797,-0.10228,0.017499
-0.1544,-0.0043884,-0.072218,-0.021965,-0.13118,0.19057,0.17789,0.18172,-0.039107,0.0038963,0.055372,0.015612,0.10965,-0.0053286,-0.051987,0.019717,0.049811,0.099126,0.042254,-0.014386,0.077199,0.076275,-0.028838,0.050648,-0.058816,0.059745
0.18001,0.01135,0.050264,0.015108,-0.094014,0.01203,-0.057824,0.03851,-0.0060882,-0.015352,-0.055756,0.10615,0.020394,-0.051803,0.0098974,-0.1187,0.074539,-0.038036,-0.016498,-0.099461,-0.011836,-0.021684,-0.12007,0.020432,0.019006,-0.010294
0.10366,-0.14425,0.028058,-0.094426,-0.0066696,-0.0040491,0.070172,-0.0083319,-0.096026,-0.099832,0.067224,0.024956,0.0090143,0.020395,-0.00054168,0.056554,-0.016627,-0.055176,-0.031633,0.11525,-0.046112,0.00022479,0.049346,-0.0086706,0.031079,-0.020788
0.21344,-0.00041952,0.038801,0.13289,0.11954,-0.047094,-0.066475,-0.095588,0.13379,0.03634,0.025332,0.0053109,-0.018124,-0.095805,-0.022666,-0.033776,-0.044383,0.060507,-0.027789,-0.049905,-0.11025,0.0036024,-0.054439,0.036118,-0.048156,0.0093161
0.14567,0.10646,0.0092064,0.048334,0.013926,0.019252,0.0088406,0.030485,-0.029836,0.10375,-0.012568,0.10833,0.027681,0.096661,-0.054782,0.0050424,-0.047869,-0.044373,-0.068359,0.004735,-0.12419,-0.010462,-0.087526,0.0080878,0.027031,-0.062191
0.11525,0.012041,0.06363,-0.02735,-0.031688,-0.020482,0.041778,-0.015352,-0.027386,0.085097,0.034149,0.023994,0.019988,0.059305,-0.18663,0.013965,-0.076372,-0.10196,0.0094547,-0.016654,-0.00044863,0.13037,0.052468,-0.024306,-0.080533,0.065186
0.099792,0.02493,0.091933,0.025142,-0.18148,0.019825,0.024743,0.072658,-0.027678,-0.014266,-0.082469,0.041118,0.0089032,0.047238,-0.028147,0.020002,0.087096,0.18621,0.020491,0.0032991,0.06222,0.016423,-0.093855,0.050589,0.052327,0.03838
-0.12081,-0.014958,0.03047,-0.041992,0.083651,0.045411,-0.053047,-0.044891,0.042351,0.0036579,0.04,0.095467,-0.12111,0.10348,-0.023332,0.044438,-0.023719,0.034366,-0.0040468,0.043291,0.0077543,-0.07163,-0.014193,-0.05307,0.067261,-0.050827
-0.10393,-0.057812,-0.13555,0.085339,-0.06005,-0.0085868,-0.1203,0.0071874,0.038884,0.029032,-0.050503,-0.025097,-0.0016709,6.0889e-05,-0.014695,-0.032525,-0.009246,0.083525,-0.037518,-0.096821,0.0006343,-0.084863,0.012025,0.0025053,-0.085656,-0.088833
0.14092,-0.069146,-0.015468,-0.025067,0.053793,-0.013105,0.06761,0.066448,-0.13773,0.098872,-0.11392,0.0038003,0.045403,0.1372,-0.064412,-0.048132,0.0010495,0.070246,-0.028087,0.080895,0.067144,-0.15232,0.11084,-0.12062,-0.0010646,0.036679
0.20486,0.067871,-0.048872,0.0059369,-0.023436,0.15013,-0.00048979,-0.048761,0.017907,-0.054295,0.05617,0.13411,-0.039859,0.10388,0.018135,0.11799,0.012196,0.027417,-0.060451,0.0049649,-0.10759,-0.087229,-0.048334,-0.011705,-0.18389,-0.0043218
0.23056,0.083345,0.04899,-0.0018114,0.059417,0.004426,-0.05491,0.064925,-0.0084462,-0.00034451,-0.05792,-0.025931,0.082747,-0.020087,0.089025,0.025711,-0.00080447,0.022361,0.035398,-0.037461,-0.029977,-0.0071713,-0.05691,0.063311,0.0036528,-0.030806
0.10701,-0.0013009,-0.12241,0.015097,-0.046806,0.036829,-0.026564,-0.023583,-0.018834,0.0045897,0.096296,-0.037117,-0.0076392,-0.023011,0.078542,0.039043,0.032274,0.0072596,-0.10915,0.030966,-0.10955,-0.10586,0.078104,-0.15565,-0.051734,-0.035195
0.16494,-0.044363,-0.016609,-0.02308,0.023613,-0.0053241,-0.01834,-0.057044,0.031934,-0.002589,0.017414,0.11101,0.0076499,0.014462,-0.096859,0.034168,-0.041006,-0.14114,0.16545,0.013722,-0.034673,-0.030117,-0.023911,-0.015132,-0.056698,0.060808
0.12504,0.089723,-0.059247,-0.040877,0.0069992,-0.0056775,-0.072282,6.7407e-05,0.055017,-0.076487,0.051106,0.034356,-0.10621,0.076902,0.016055,-0.017356,-0.042535,-0.017757,0.0109,-0.089497,-0.0086191,0.091653,-0.064957,0.0048575,0.025151,0.017882
0.21399,-0.010654,-0.048871,0.062375,0.009377,0.091794,0.041454,-0.18753,0.011065,0.097051,-0.066359,-0.00087611,0.041519,-0.05173,0.017161,5.0829e-05,0.06404,-0.0084283,-0.14549,0.013457,0.067612,-0.019956,0.0504,0.053478,-0.10298,-0.034284
0.13858,0.069923,-0.027748,-0.023148,0.013963,-0.032725,-0.1295,0.012985,0.083983,-0.00050972,0.058224,0.018023,0.025252,0.046041,0.028019,-0.062123,0.054709,-0.017079,0.078796,-0.044451,0.0092937,0.092376,0.019166,-0.077737,-0.10505,-0.0085695
0.20327,0.01766,0.055108,-0.0018591,0.14633,0.083027,-0.027647,0.022758,0.0012665,0.022813,0.076476,-0.056367,0.046715,-0.019711,0.021161,0.046736,-0.025205,0.01732,-0.025885,0.068743,0.044374,0.031897,-0.104,0.040489,-0.011395,-0.022561
0.085008,-0.06908,-0.0021386,-0.021871,0.019457,0.01382,-0.0052348,-0.01654,0.058531,-0.092198,-0.072481,-0.0039389,-0.025149,0.0062696,-0.1014,-0.038957,0.05365,-0.026371,0.012237,-0.02432,0.049927,0.083296,-0.032305,0.007206,0.0083043,0.054885
0.24452,0.10006,0.0019975,0.040979,-0.0072282,0.12335,0.084984,0.00035264,0.024976,0.072799,-0.041893,-0.071177,-0.029988,-0.056697,0.020262,0.078081,-0.042196,0.0067989,-0.011825,0.090645,0.034615,-0.076972,-0.059242,-0.12498,-0.064407,-0.049934
0.1563,0.0042123,0.10277,0.10485,0.027162,-0.0091709,-0.035937,-0.094954,-0.065392,0.13567,0.0031444,0.064966,0.025477,0.0084296,-0.035785,-0.013009,0.064302,-0.060163,-0.045125,0.047497,-0.049201,0.039678,-0.13947,0.11864,0.0054714,-0.11514
-0.11339,-0.043995,0.094693,-0.0076667,0.10368,-0.052181,-0.015682,-0.057159,0.02839,-0.10485,-0.062092,-0.01235,0.026369,0.011755,-0.1004,0.016921,-0.020404,0.091451,-0.0033837,0.038134,-0.063698,-0.063225,-0.069824,0.096111,0.10061,-0.11201
0.17801,0.030916,0.19135,0.068756,-0.076211,0.085345,-0.0080775,0.044184,-0.067567,0.031644,0.026171,0.031548,-0.028668,0.03868,0.079036,-0.13138,-0.025753,-0.054359,-0.031184,-0.024429,0.013842,-0.054615,0.049806,-0.079329,-0.060999,-0.1217
-0.15891,0.13195,-0.049257,-0.021315,0.012486,-0.039015,-0.066319,0.016004,0.054566,-0.12362,-0.048271,-0.045676,0.017623,0.00077603,0.019347,-0.088967,0.016444,-0.051319,0.071317,-0.079828,-0.16491,-0.048857,-0.03164,0.020474,0.052039,-0.048898
-0.074459,0.097039,0.10026,-0.035067,-0.018881,-0.11621,0.014524,0.0072792,0.0059865,-0.053455,0.11778,0.068329,0.1575,-0.063539,0.081921,0.0052618,-0.11409,0.11919,-0.016286,0.055829,0.02048,-0.13251,-0.11791,-0.018151,-0.060814,-0.026812
0.11434,0.0054791,-0.10571,0.05461,0.027524,0.0012177,-0.032701,-0.084096,0.052007,-0.011207,-0.027746,0.02191,-0.010185,-0.063358,-0.083781,-0.1334,0.091135,0.11266,-0.0022078,0.02395,0.056144,-0.055445,-0.0062006,0.020842,0.035216,-0.13285
0.18096,0.072041,0.070144,0.061815,0.07504,0.043451,-0.035266,-0.024683,0.018428,0.0064805,-0.11075,0.05478,-0.056067,-0.060786,0.025535,-0.051019,-0.016304,0.0041968,-0.016161,-0.029727,-0.0028678,-0.068692,0.050621,0.015147,0.032473,-0.020845
-0.19341,0.03792,0.051445,0.014843,0.078152,0.038173,0.05776,0.041879,0.089281,0.08262,-0.0013285,-0.035976,0.032351,0.022855,-0.0262,0.14419,0.012099,0.04577,-0.078166,0.00068228,0.09984,0.0034878,-0.053972,0.098406,0.012458,0.07939
-0.076919,-0.010072,-0.0067138,0.095447,-0.024629,0.075067,0.053301,0.044373,-0.046092,-0.09056,-0.16032,0.037447,0.058743,-0.076919,-0.010072,-0.0067138,0.095447,-0.024629,0.075067,0.053301,0.044373,-0.046092,-0.09056,-0.16032,0.037447,0.058743
-0.098737,0.086541,-0.0012337,-0.025397,0.023187,-0.069853,-0.044285,-0.023533,-0.048573,-0.04593,0.022263,-0.061749,-0.017416,-0.02663,0.027463,0.047227,-0.0034551,-0.040342,0.0069951,0.040469,-0.054148,0.0016088,-0.08245,-0.1137,0.052073,0.10812
0.18369,-0.04146,0.039619,-0.027977,-0.028897,0.071916,-0.11623,-0.11727,-0.018597,-0.060272,-0.0052195,0.027023,-0.033543,0.019858,0.084011,0.036002,0.057025,0.069929,-0.053054,-0.063949,-0.05812,0.034336,-0.016667,0.063199,-0.10577,0.0069204
0.11949,0.050703,-0.039551,-0.012393,0.0080969,-0.057567,0.055638,-0.056331,-0.1137,0.042395,-0.050416,-0.025475,-0.08639,0.085563,-0.02695,0.038335,-0.015277,-0.075725,-0.028264,0.044642,0.063107,-0.096729,-0.0071636,0.10004,-0.035913,-0.095448
0.12445,0.016051,0.053599,0.014778,-0.16,0.060532,-0.0069193,-0.019097,0.14464,0.016327,0.012146,0.068142,0.060243,0.075719,-0.12244,-0.0078334,-0.036992,0.05293,0.053036,0.052772,0.020318,0.0048362,-0.11218,0.039683,-0.058973,0.022445
-0.10458,0.031743,-0.004131,0.03804,0.011308,-0.027234,0.012383,0.01345,-0.10332,-0.025286,0.084563,-0.10411,0.0060638,-0.072075,-0.12138,-0.019364,-0.076501,-0.080334,-0.071242,0.066112,-0.059851,-0.0081979,-0.035215,0.062907,0.064472,0.14071
0.12856,0.10695,0.0048475,-0.017637,0.10666,0.032353,0.022298,0.041473,-0.060775,0.052704,0.02499,0.10601,-0.026502,0.0081204,0.078669,-0.017423,0.046948,-0.022161,0.025922,0.0077293,0.036727,0.028344,-0.015074,0.10899,0.035114,0.024086
-0.10691,-0.02799,-0.013607,-0.13086,-0.057911,-0.078163,0.073382,0.0437,-0.065023,-0.070135,-0.055279,0.047383,0.031886,-0.052917,-0.060339,0.03653,-0.03094,-0.11067,-0.04232,-0.12963,-0.055256,0.02001,0.078005,0.0066479,-0.053136,-0.03024
0.17934,-0.028057,0.06678,0.016922,0.02397,-0.085715,-0.071336,0.013934,-0.013534,0.10984,0.084028,0.018622,0.023908,0.010546,-0.081716,-0.11383,0.050822,-0.045777,0.060612,0.0021822,-0.091378,0.080734,0.073904,-0.030445,-0.063651,-0.094748
0.16496,0.036883,0.12882,0.041046,0.14454,0.005141,-0.026585,-0.089038,-0.016911,0.04695,0.030434,0.061367,-0.058688,-0.013375,-0.008121,-0.0098113,-0.035589,0.0051101,-0.1092,-0.13675,0.03602,-0.072573,0.085522,-0.040316,-0.033079,0.046901
0.089408,-0.09855,0.06559,0.098504,0.0329,0.10535,-0.04224,-0.066388,-0.040573,-0.012493,0.033131,-0.031441,0.15414,0.042789,-0.0034389,0.0088459,0.12305,-0.059287,-0.017994,0.0067346,0.035355,-0.039163,0.021234,0.07537,0.058955,-0.035892
0.073577,0.030282,-0.046752,0.16113,-0.021483,0.064453,-0.043631,0.037553,0.10572,-0.011476,-0.11081,-0.02165,0.073348,-0.0017763,0.023221,0.020697,-0.050061,-0.0094112,0.057667,-0.075785,-0.047301,0.10634,0.030825,-0.013554,0.04251,-0.10961
-0.14103,0.08313,-0.092176,0.051255,-0.078215,0.016152,0.063814,-0.024384,0.11741,-0.13213,0.16712,-0.045719,0.010896,-0.10916,-0.072799,-0.043585,0.050882,-0.03592,0.063552,-0.025783,0.011787,-0.048873,0.019141,0.14226,0.0013658,-0.060733
0.11144,0.12412,0.03018,0.13378,0.0075728,0.063814,0.07316,0.0088219,-0.071787,0.020027,-0.060525,-0.086702,0.039792,0.035607,0.02895,-0.05031,0.011104,-0.0031145,-0.017777,-0.098121,-0.036402,0.031163,-0.055575,0.0147,0.03572,0.12052
0.17107,-0.026764,0.10453,0.12421,-0.022996,-0.24052,-0.0089639,0.0089311,0.028755,-0.039463,0.012231,-0.00689,-0.0087574,-0.047979,-0.079525,0.019778,-0.011928,-0.12107,0.088257,0.013158,0.071123,0.062841,0.0014259,0.022807,0.050634,0.12423
0.15192,-0.010201,0.056371,0.020948,-0.12509,0.038019,-0.028282,-0.030215,0.021911,-0.06693,-0.13551,-0.074848,-0.035492,-0.044283,-0.018646,-0.059369,-0.0069168,0.074395,0.10125,0.04878,0.017606,0.0089155,-0.055425,0.0043731,-0.0009393,0.053065
0.18235,-0.028388,0.13428,-0.00010821,0.11613,0.099472,-0.0296,0.053759,0.063829,0.033101,-0.025786,0.012054,-0.0028279,0.073363,0.05944,0.0062009,-0.036471,-0.022965,0.010051,-0.023346,-0.065079,-0.11274,-0.025017,-0.055345,-0.062354,-0.068576
-0.12272,0.082565,-0.037798,-0.10389,-0.016628,0.004081,0.017371,0.019616,-0.18579,-0.039806,0.050635,-0.09481,0.051552,0.021603,0.066131,-0.017914,-0.005203,-0.041789,-0.047059,-0.14128,0.0047076,-0.077406,-0.040118,0.064837,0.021194,0.018022
0.082721,-0.026855,0.014719,-0.0033673,0.092174,0.026099,-0.058009,0.0010422,-0.041893,0.12102,-0.0045703,0.021894,-0.020738,0.051796,-0.09241,0.024965,0.03514,0.090478,0.0054752,-0.10303,0.019234,0.14129,-0.071551,0.15101,0.089868,-0.04662
0.14058,0.035663,-0.0722,0.074418,-0.024764,-0.0050629,0.048911,0.076002,0.093866,0.037078,-0.012801,0.020464,0.07513,-0.076268,0.077158,0.031769,0.061334,0.10627,0.044581,0.027679,-0.060533,-0.053623,0.048823,-0.043818,0.011158,-0.090944
0.22047,0.039426,-0.090999,0.053194,0.04432,0.0022954,-0.095287,-0.0017999,0.11795,-0.020494,-0.063183,-0.0073116,-0.050563,0.050694,-0.021485,-0.019194,0.049691,0.03742,0.10995,0.022015,-0.01261,-0.095921,-0.024465,0.068324,-0.024183,-0.10317
-0.13335,-0.020145,0.14336,-0.0015412,0.0387,-0.051174,0.09658,-0.038955,0.037069,-0.020407,0.066176,-0.071552,0.02389,-0.002318,-0.0111,-0.062247,0.12892,-0.055738,-0.078732,0.067986,-0.081625,-0.094599,0.086389,0.022009,-0.036082,-0.037206
0.085046,0.0084672,-0.047053,0.090472,-0.12827,0.095757,-0.0082445,-0.056946,0.14933,0.0078707,-0.034038,0.031362,-0.0060463,0.039152,0.11775,0.0050013,-0.038662,-0.049154,0.12478,0.040336,0.019385,0.04334,-0.016452,-0.11653,0.02946,0.018111
0.17059,0.037028,-0.067354,-0.014587,0.043422,-0.0012824,0.059916,0.11904,-0.04585,0.06081,-0.027159,0.079893,-0.07254,-0.064487,-0.069918,0.062967,0.075603,-0.15074,-0.035403,-0.04912,-0.083755,-0.040201,-0.023987,-0.050876,-0.045333,-0.072295
0.18544,-0.031467,-0.050028,0.064091,0.015389,0.15462,-0.020205,-0.085359,0.042897,-0.076335,0.00080028,-0.054528,0.038966,-0.020786,0.0050394,-0.061864,0.063347,-0.066449,-0.0084916,-0.2102,0.060781,0.073007,-0.040072,0.020374,0.090654,-0.19172
0.14065,0.0045792,0.016156,0.024992,0.063764,0.054693,0.014445,-0.088685,-0.095854,-0.064229,-0.06467,0.080017,0.028569,-0.074357,-0.00041233,0.0039926,0.063909,-0.084566,0.12812,-0.037965,0.047733,0.051357,0.021273,0.07504,-0.00014769,0.13272
-0.14444,0.049122,0.052829,0.014211,-0.011204,-0.069551,-0.084379,0.022568,-0.032082,0.059672,0.0083973,-0.10178,0.013498,0.10038,-0.050962,0.021227,-0.10387,0.040034,-0.035151,0.018841,0.14302,0.0039836,-0.0069581,-0.069076,0.013878,-0.074231
0.13738,0.08236,-0.10539,0.074868,-0.062707,-0.059651,-0.012733,-0.045556,0.0235,-0.042613,0.10894,-0.025701,-0.080086,-0.00023291,0.072397,-0.11966,-0.085294,0.031084,0.020885,0.090648,0.11565,0.013486,0.010419,-0.054903,0.03084,-0.10489
0.21936,0.054338,-0.012252,0.078344,-0.04253,-0.079862,-0.016624,0.08175,0.023687,-0.065315,-0.0045057,-0.018169,0.077135,-0.034774,0.0073146,0.046539,-0.0078068,-0.032136,-0.029921,0.035065,9.9378e-05,-0.034295,0.035538,-0.05075,0.038609,0.029662
0.18134,-0.023896,-0.0078784,0.072744,0.0073846,-0.086924,-0.048391,0.017889,0.031903,0.10469,0.078677,0.039317,0.022958,-0.070052,-0.08606,0.0011668,-0.033009,-0.017632,0.053507,0.037915,-0.053309,-0.046728,-0.00076048,0.038916,0.058809,0.036176
0.13265,-0.038867,0.073619,0.071819,0.033254,0.029259,-0.039242,0.045429,0.02625,0.12031,-0.045617,0.0021344,0.00058052,0.010439,0.092117,-0.025502,0.05398,-0.032142,0.0042071,0.12215,-0.020317,-0.10124,0.08232,-0.017515,-0.035069,-0.01183
-0.11249,0.017384,-0.06776,-0.010672,-0.065533,0.056367,-0.022327,0.092872,-0.067571,-0.037817,-0.014951,-0.006101,-0.032457,-0.062904,-0.034034,0.061019,-0.054519,0.0013882,-0.042353,0.071415,-0.078372,0.013751,0.016569,0.024989,0.0033267,-0.010227
-0.16236,0.00041586,0.018554,0.013232,0.086327,0.051008,-0.021089,-0.016142,-0.097528,-0.067828,0.032679,0.13155,-0.04612,0.003611,-0.052534,-0.1316,0.07214,0.05772,-0.15089,0.04423,0.024425,0.059773,-0.00099735,-0.083147,0.014686,0.055138
0.18152,-0.002591,0.088474,-0.090868,0.093456,0.031093,-0.10288,-0.0017405,-0.053801,-0.0040277,-0.0075489,0.079008,0.013389,-0.042875,-0.019386,0.081819,0.082823,0.11965,-0.071126,0.015691,-0.077269,0.030663,0.009697,0.062759,-0.0095038,0.078331
0.18432,-0.0022812,0.037088,-0.0052773,0.032465,-0.021215,-0.093605,-0.010517,-0.062941,0.10694,-0.025687,-0.10807,-0.022248,0.010743,0.02988,0.045126,0.0087197,-0.047847,0.0094542,-0.051327,0.087408,0.04332,0.029101,-0.0068686,-0.010146,-0.10036
-0.15387,-0.05398,-0.024427,0.027964,-0.00123,0.021361,0.011551,0.13981,-0.042191,-0.065,0.064732,0.055597,0.046634,-0.0092431,0.066496,0.013589,-0.01885,0.012801,0.1503,-0.067605,-0.099455,0.093161,0.13455,-0.069126,-0.069988,0.0033349
-0.23365,0.11113,0.041396,0.11838,-0.00033104,-0.010223,0.030935,0.14843,-0.055112,-0.075306,-0.068082,-0.060363,-0.072712,-0.0568,0.10227,-0.030151,0.03975,0.055458,-0.044903,0.062446,0.052129,-0.097009,-0.092492,-0.062007,-0.025973,-0.10094
-0.095009,0.034246,-0.083888,0.026532,0.070009,0.00071775,-0.12719,-0.014773,0.021609,-0.013418,-0.087128,-0.034625,0.060236,0.0006495,-0.025822,0.0044614,-0.036252,-0.11159,-0.0039226,0.018719,-0.067003,-0.063218,-0.033718,0.03263,-0.095697,0.06805
-0.17021,0.014912,0.13585,-0.089912,-0.12056,0.06037,0.062884,0.12599,0.082771,0.030472,0.058359,0.024598,0.032381,0.0026306,0.10056,0.094608,0.044369,0.090544,-0.044808,-0.10519,-0.022603,-0.037999,0.025954,0.022691,0.16317,-0.094506
0.08564,-0.050509,-0.076449,0.027232,0.0033013,0.079857,-0.027193,0.083597,0.071819,-0.019141,0.041581,0.038461,-0.042912,-0.044584,0.04354,-0.10771,0.020628,0.020566,-0.02752,-0.066496,-0.022949,0.21073,0.0092144,-0.066244,-0.00069981,0.053212
